num_estacion,nombre,tipo,alcaldia_municipio,estado_ciudad,longitud,latitud,linea_id,linea_nombre
21,Paseo de la Reforma,Intermedia,Miguel Hidalgo,CDMX,-99.2033829224792,19.427271778236,72,Periférico Interior Poniente
22,Presidente Masaryk,Intermedia,Miguel Hidalgo,CDMX,-99.2080967842068,19.4320351650801,72,Periférico Interior Poniente
23,Homero,Intermedia,Miguel Hidalgo,CDMX,-99.2129461326464,19.4367463974964,72,Periférico Interior Poniente
24,Ejército Nacional,Intermedia,Miguel Hidalgo,CDMX,-99.214626690685,19.4392638928012,72,Periférico Interior Poniente
25,Hipódromo las Américas,Intermedia,Miguel Hidalgo,CDMX,-99.216389674011,19.4423772420843,72,Periférico Interior Poniente
26,Cuatro Caminos/Periférico,Transbordo,Naucalpan de Juárez,EDOMEX,-99.2205876390333,19.4587801108788,72,Periférico Interior Poniente
27,Las Torres,Intermedia,Naucalpan de Juárez,EDOMEX,-99.2245013622917,19.4660189895512,72,Periférico Interior Poniente
28,Naucalpan,Intermedia,Naucalpan de Juárez,EDOMEX,-99.2285223588608,19.47375676818,72,Periférico Interior Poniente
29,Gustavo Baz Prada,Intermedia,Naucalpan de Juárez,EDOMEX,-99.2319348869996,19.4790829347871,72,Periférico Interior Poniente
30,Lomas Verdes,Intermedia,Naucalpan de Juárez,EDOMEX,-99.2350808843679,19.4861748591816,72,Periférico Interior Poniente
31,Parque Naucalli,Terminal / Transbordo,Naucalpan de Juárez,EDOMEX,-99.2372188516262,19.4942303629856,72,Periférico Interior Poniente
1,Parque Naucalli,Terminal / Transbordo,Naucalpan de Juárez,EDOMEX,-99.2372188516262,19.4942303629856,73,Periférico Interior Norte
2,Torres de Satélite,Intermedia,Naucalpan de Juárez,EDOMEX,-99.237,19.502,73,Periférico Interior Norte
3,Ciudad Satélite,Intermedia,Naucalpan de Juárez,EDOMEX,-99.2368132396803,19.5092138203163,73,Periférico Interior Norte
