1074,Xola,STC0218,Intermedia,Benito Juárez,1970.0,CDMX,-99.1378688872452,19.3952180328096,2,18,5063,STC Metro,t,
1075,Villa de Cortés,STC0219,Intermedia,Benito Juárez,1970.0,CDMX,-99.1389557238403,19.3876024724365,2,19,5062,STC Metro,t,
1076,Nativitas,STC0220,Intermedia,Benito Juárez,1970.0,CDMX,-99.1403498073416,19.3794861882326,2,20,5050,STC Metro,t,
1077,Portales,STC0221,Intermedia,Benito Juárez,1970.0,CDMX,-99.1415728947071,19.3698305094717,2,21,5055,STC Metro,t,
1078,Ermita,STC0222,Transbordo,Benito Juárez,1970.0,CDMX,-99.1430860641609,19.3610832155989,2,22,5047,STC Metro,t,
1079,General Anaya,STC0223,Intermedia,Coyoacán,1970.0,CDMX,-99.1451989335786,19.3534184951085,2,23,5048,STC Metro,t,
1080,Tasqueña,STC0224,Terminal,Coyoacán,1970.0,CDMX,-99.1395369122942,19.3439114980384,2,24,5060,STC Metro,t,
1081,Indios Verdes,STC0301,Terminal,Gustavo A. Madero,1979.0,CDMX,-99.1196582467316,19.4951125193423,3,1,5076,STC Metro,t,
1082,Deportivo 18 de Marzo,STC0302,Transbordo,Gustavo A. Madero,1979.0,CDMX,-99.1256606810404,19.4854542641806,3,2,5069,STC Metro,t,
1083,Potrero,STC0303,Intermedia,Gustavo A. Madero,1979.0,CDMX,-99.1319410900206,19.4771728032666,3,3,5082,STC Metro,t,
1084,La Raza,STC0304,Transbordo,Gustavo A. Madero,1978.0,CDMX,-99.1366000864507,19.469858450651,3,4,5078,STC Metro,t,
1085,Tlatelolco,STC0305,Intermedia,Cuauhtémoc,1970.0,CDMX,-99.1431612331876,19.4551667223117,3,5,5083,STC Metro,t,
1086,Guerrero,STC0306,Transbordo,Cuauhtémoc,1970.0,CDMX,-99.1452533561666,19.4448984084123,3,6,5073,STC Metro,t,
1087,Hidalgo,STC0307,Transbordo,Cuauhtémoc,1970.0,CDMX,-99.1471416313272,19.4375938526563,3,7,5074,STC Metro,t,
1088,Juárez,STC0308,Intermedia,Cuauhtémoc,1970.0,CDMX,-99.1477209884462,19.4333445139955,3,8,5077,STC Metro,t,
1089,Balderas,STC0309,Transbordo,Cuauhtémoc,1970.0,CDMX,-99.1489548046239,19.4272940730929,3,9,5065,STC Metro,t,
1090,Niños Héroes/Poder Judicial CDMX,STC0310,Intermedia,Cuauhtémoc,1970.0,CDMX,-99.150403197459,19.4196042244371,3,10,5080,STC Metro,t,
1091,Hospital General,STC0311,Intermedia,Cuauhtémoc,1970.0,CDMX,-99.1532570679312,19.4137455297227,3,11,5075,STC Metro,t,
1092,Centro Médico,STC0312,Transbordo,Cuauhtémoc,1980.0,CDMX,-99.1552119788998,19.4065228778557,3,12,5066,STC Metro,t,
1093,Etiopía/Plaza de la Transparencia,STC0313,Intermedia,Benito Juárez,1980.0,CDMX,-99.1560844116594,19.3960860936835,3,13,5081,STC Metro,t,
1094,Eugenia,STC0314,Intermedia,Benito Juárez,1980.0,CDMX,-99.1571950872638,19.3862943808055,3,14,5072,STC Metro,t,
1095,División del Norte,STC0315,Intermedia,Benito Juárez,1980.0,CDMX,-99.1595439182581,19.3791882665802,3,15,5071,STC Metro,t,
1096,Zapata,STC0316,Transbordo,Benito Juárez,1980.0,CDMX,-99.1650210014718,19.3706611087911,3,16,5085,STC Metro,t,
1097,Coyoacán,STC0317,Intermedia,Benito Juárez,1983.0,CDMX,-99.170793171446,19.3613752881753,3,17,5068,STC Metro,t,
1098,Viveros/Derechos Humanos,STC0318,Intermedia,Álvaro Obregón / Coyoacán,1983.0,CDMX,-99.1753636556376,19.3540669817023,3,18,5070,STC Metro,t,
